Komisija,Padalinio pavadinimas,"Kategorija, kodas, taisyklių punktas",Pirkimo grupė,Pirkimo Nr.,Rašto  vizavimo data ,Vokų atplėšimo  data,"Sutarties, data ir Nr. arba PVM sąskaitos faktūros data ir Nr.",Laimėtojas,Laimėtojo nustatymo priežastis,Pirkimo suma 1 metams / įkainis   Lt,Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai,ŽAL,CPO,91 str.,Pastabos
MV,Naujosios Vilnios seniūnija,BVPŽ kodas 45420000-7,Darbai,12,2014-02-06,2/26/2014,2014-04-01 sutartis Nr. A62-9/14(3.10.21-FN4),"UAB ""Priemiestis""",Mažiausia kaina,-,"4,696.54   ",Rinkimo apylinkių paruošimo darbai,"UAB ""Rakursas""; UAB ""Priemiestis""; UAB ""Aukštaitijos statyba""",,,,
MV,Naujosios Vilnios seniūnija,BVPŽ kodas 92300000-4,Paslaugos,13,2014-02-06,3/4/2014,2014-04-01 sutartis Nr. A64-48/14(3.10.22-FN4),Naujosios Vilnios kultūros centras,Mažiausia kaina,-,"7,850.00   ","Paparčio žiedo šventės, Kalėdinio renginio organizavimo paslaugos","Kirtimų kultūros centras; Grigiškių kultūros centras; ""Naujosios Vilnios kultūros centras""",,,,
MV,Rasų seniūnija,BVPŽ kodas 50700000-2,Paslaugos,14,2014-02-06,2/21/2014,2014-04-01 sutartis Nr. A64-47/14 (3.10.22-FN4),"UAB ""Senamiesčio ūkis""",Taisyklių 46 punktas,-,"2,945.04   ","Remonto ir priežiūros paslaugos, susijusios su pastatais","UAB ""Senamiesčio ūkis""",,,,
MV,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316100-6,Darbai,15,2014-02-06,2/10/2014,2014-02-14 sutartis Nr. A62-3/14(3.10.21-UK) ,"UAB ""Švenčių studija""",Mažiausia kaina,-,"19,900.00   ",Šventinis Konstitucijos pr. papuošimas šviečiančiais dekoratyviniais elementais tautine simbolika valstybinių švenčių proga.,"UAB ""Aušros vartų meno galerija""; UAB ""Švenčių studija""; UAB ""Ekspobalta""",,,,
MV,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316100-6,Darbai,16,2014-02-06,2/10/2014,2014-02-14 sutartis Nr. A62-4/14(3.10.21-UK) ,"UAB ""Švenčių studija""",Mažiausia kaina,-,"19,950.00   ",Šventinis Gedimino pr. papuošimas šviečiančiais dekoratyviniais elementais tautine simbolika valstybinių švenčių proga,"UAB ""Aušros vartų meno galerija""; UAB ""Švenčių studija""; UAB ""Ekspobalta""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,17,2014-02-10,2/10/2014,2014-02-24 sutartis Nr. A64-22/14(3.10.22-FN4),"UAB ""Kalba LT""",Taisyklių 74.9 punktas,-,"7,425.00   ",Individualūs anglų kalbos kursai,"UAB ""Kalba Lt""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,18,2014-02-11,2/11/2014,2014-02-14 sąskaita faktūra Nr. KB021,"VšĮ ""Kuriančios bendruomenės""",Taisyklių 74.9 punktas,-,"2,000.00   ",Art of Hosting in Education,"VšĮ ""Kuriančios bendruomenės""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,19,2014-02-14,2/14/2014,2014-02-14 PVM sąskaita-faktūra Nr. CONFINN04404,"UAB ""Confinn""",Taisyklių 74.9 punktas,-,450.00   ,Darbuotojų sauga ir seikata praktikams 2014,"UAB ""Confinn""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,20,2014-02-14,2/14/2014,2014-02-14 PVM sąskaita-faktūra Nr. MS-JI 006953,"UAB ""Mokesčių srautas""",Taisyklių 74.9 punktas,-,787.95   ,Viešųjų pirkimų reguliavimo praktika ir naujovės,"UAB ""Mokesčių srautas""",,,,
MV,Ekonomikos ir investicijų departamentas,BVPŽ kodas 72242000-3,Paslaugos,21,2014-02-19,2/21/2014,2014-03-04 sutartis Nr. A64-28/14(3.10.23-EK),UAB „PM Screen group“,Mažiausia kaina,-,"100,000.00   ","Objektų pateikimo MIPIM 2014 stende koncepcijos sukūrimo, grafinio apipavidalinimo ir įrangos užtikrinimo paslaugos",UAB „Sneaky Box“(nepateikė pasiūlymo); UAB „PM Screen group“; UAB „Techn“(nepateikė pasiūlymo),,,,
MV,Ekonomikos ir investicijų departamentas,BVPŽ kodas 39154100-7,Prekės,22,2014-02-19,2/21/2014,2014-02-28 sutartis Nr. A68-5/14(3.10.23-EK),"UAB ""Ekspozicijų centras""",Mažiausia kaina,-,"99,980.06   ",MIPIM stendas ir jo įrengimas,UAB „Švenčių studija“; UAB „Ekspobalta“; UAB „Ekspozicijų centras“,,,,
MV,Ekonomikos ir investicijų departamentas,BVPŽ kodas 72000000-5,Paslaugos,23,2014-02-20,2/24/2014,2014-03-04 sutartis Nr. A64-29/14(3.10.23-EK),UAB „PM Screen group“,Mažiausia kaina,-,"58,996.70   ",Internetinės sveitainės www.development.lt atnaujinimas ir informacinės pateikiamosios medžiagos sukūrimas MIPIM 2014 parodoje.,"UAB „D Studija“, UAB „PM Screen group“, UAB „Ekspobalta“; UAB „Interneto reklamos biuras“",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,24,2014-02-25,2/25/2014,2014-02-26 PVM sąskaita-faktūra Nr. AG2220,"UAB ""AVGO Group""",Taisyklių 74.9 punktas,-,370.00   ,Rangos darbų konkursų perkančiosiose organizacijose vykdymo ypatumai ir problematika,"UAB ""AVGO Group""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,25,2014-02-26,2/26/2014,2014-03-07 PVM sąskaita-faktūra Nr. LKAS 22/2014,Lietuvos kraštovaizdžio architektų sąjunga,Taisyklių 74.9 punktas,-,240.00   ,Viešųjų erdvių (želdynų) tvarkymo metodologiniai ir finansiniai aspektai,Lietuvos kraštovaizdžio architektų sąjunga,,,,
MV,Teisės departamentas,BVPŽ kodas 78100000-8,Paslaugos,26,2014-02-27,2/28/2014,2014-03-06 sutartis Nr. A64-30/14(3.10.22-FN4),"UAB ""Diena Media News""",Taisyklių 28.2; 55.1.6; 74.2 punktai,-,"4,234.03   ",Spausdinimo paslaugos,"UAB ""Diena Media News""",,,,
MV,Aprūpinimo ir transporto skyrius,BVPŽ kodas 30197630-1,Prekės,27,2014-02-27,3/5/2014,2014-03-07 sutartis Nr. A68-6/14(3.10.23-FN4),"UAB ""Officeday""",Mažiausia kaina,-,"93,545.70   ",Popierius spausdintuvams,"UAB ""Officeday""",,CPO,,
DK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 30192000-1,Prekės,28,2014-02-27,4/1/2014,2014-04-23 sutartis Nr. A68-10/14(3.10.23-FN4),"UAB ""Officeday""",Mažiausia kaina,-,"21,708.17   ",Biuro reikmenys,"UAB ""Officeday""; UAB ""Biuro pasaulis""",,,,
DK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 30237310-5,Prekės,29,2014-02-27,3/24/2014,2014-03-31 sutartis Nr. A68-8/14(3.10.23-FN4),"UAB ""Biuro pasaulis""",Mažiausia kaina,-,"15,040.30   ",Spausdintuvų kasetės,"UAB ""Officeday""; UAB ""Biuro pasaulis""",,,,
MV,Lazdynų seniūnija,BVPŽ kodas 45420000-7,Darbai,30,2014-02-28,3/25/2014,2014-04-11 sutartis Nr. A62-12/14(3.10.21-FN4),"UAB ""Rudmė""",Mažiausia kaina,-,"3,726.80   ",Rinkimų apylinkių parengimas LR Prezidento ir Europos Parlamento rinkimams,"UAB ""Rudmė""; UAB ""Deminta""; UAB "" Tavo aplinkos vizija""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,31,2014-02-28,2/28/2014,2014-03-27 PVM sąskaita-faktūra Nr. KVC0008440,VšĮ VGTU Kokybės vadybos centras,Taisyklių 74.9 punktas,-,"1,000.00   ",Statybos techninės veiklos pagrindinių sričių vadovų ir teritorijų planavimo specialistų atestavimas ir kvalifikacijos tobulinimas,VšĮ VGTU Kokybės vadybos centras,,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,32,2014-02-28,2/28/2014,2014-03-03 PVM sąskaita-faktūra Nr. SPSC 829-14M,"VĮ ""Statybos produkcijos sertifikavimo centras""",Taisyklių 74.9 punktas,-,150.00   ,Statybos specialistų teisinių žinių seminaras,"VĮ ""Statybos produkcijos sertifikavimo centras""",,,,
MV,Šeškinės seniūnija,BVPŽ kodas 45421000-4,Darbai,33,2014-02-28,3/18/2014,2014-04-28 sutartis Nr. A62-18/14(3.10.21-FN4),"UAB ""Stebulė""",Mažiausia kaina,-,"3,679.61   ",Stalių darbai,"UAB ""Stebulė""; UAB ""Trajana""; UAB ""Metalo sprendimai""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 39298500-2,Prekės,34,2014-02-28,5/5/2014,2014-05-20 sutartis Nr. A68-14/14(3.10.23-AD4),Skulptorius Vaidas Ramoška,Taisyklių 74.8 punktas,-,"5,000.00   ",Papuošalai,Skulptorius Vaidas Ramoška,,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 39298500-2,Prekės,35,2014-02-28,5/5/2014,2014-05-20 sutartis Nr. A68-13/14(3.10.23-AD4),Skulptorius Vaidas Ramoška,Taisyklių 74.8 punktas,-,"5,000.00   ",Papuošalai,Skulptorius Vaidas Ramoška,,,,
MV,Grigiškių seniūnija,BVPŽ kodas 45420000-7,Darbai,36,2014-02-28,3/26/2014,2014-04-18 sutartis Nr. A62-13/14(3.10.21-FN4),"UAB ""Stebulė""",Mažiausia kaina,-,"1,294.70   ",Rinkimų apylinkių įrengimas,"UAB ""Stebulė""; UAB ""Naujininkų ūkis""; UAB ""Gedulis""",,,,
MV,Saugaus miesto departamentas,BVPŽ kodas 44421300-0,Prekės,37,2014-02-28,3/26/2014,2014-03-31 PVM sąskaita-faktūra Nr. TAK2125359,"UAB ""Taurakalnis""",Mažiausia kaina,-,530.00   ,Seifas,"UAB ""Taurakalnis""; UAB ""Dremler""; UAB ""Vildeta""; UAB ""Vildika""; UAB ""Hansab""",,,,
MV,E. miesto departamentas,BVPŽ kodas 72210000-0,Paslaugos,38,2014-03-03,201-03-07,2014-03-21 sutartis Nr. A64-36/14(3.10.22-EM),"UAB ""Idamas""",Mažiausia kaina,-,"9,922.00   ","""Gyvūnų registracijos"" pakeitimai pasikeitus teisės aktams"," UAB ""SS Solutions"" (Nepateikė pasiūlymo); UAB ""Leksinova""; UAB ""Idamas""",,,,
DK,Saugaus miesto departamentas,BVPŽ kodas 45259000-7,Darbai,39,2014-03-04,Nebus vykdomas,Nebus vykdomas,Nebus vykdomas,Nebus vykdomas,-,0.00   ,Gyventojų perspėjimo ir informavimo sistemos eksploatavimas ir techninė priežiūra,Nebus vykdomas,,,,
MV,Personalo departamentas,BVPŽ kodas 44423400-5,Paslaugos,40,2014-03-04,3/4/2013,2014-03-04 PVM sąskaita-faktūra Nr. DPF K261,"VšĮ ""Demokratijos plėtros fondas""",Taisyklių 74.9 punktas,-,"9,075.00   ",Lietuvos ekonomikos konferencija,"VšĮ ""Demokratijos plėtros fondas""",,,,
MV,E. miesto departamentas,BVPŽ kodas 80522000-10,Prekės,41,2014-03-06,4/22/2014,2014-06-04 sutartis Nr. A68-16/14(3.10.23-AD4),"UAB ""Jugima""",Mažiausia kaina,-,"47,180.00   ",Valstybiniai žemės ūkio technikos ženklai (numeriai),"UAB ""Jugima""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 55300000-3,Paslaugos,42,2014-03-06,3/6/2014,2014-03-14 PVM sąskaita-faktūra Nr. VRI149061,"UAB ""AAA Wrislit""",Taisyklių 74.10 punktas,-,"9,333.73   ",Restorano paslaugos oficialios delegacijos iš Kaliningrado atstovams,"Turizmo agentūra AAA ""Wrislit""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 55320000-9,Paslaugos,43,2014-03-06,3/6/2014,2014-03-14 PVM sąskaita-faktūra Nr. VRI 149057,"UAB ""AAA Wrislit""",Taisyklių 74.10 punktas,-,"9,242.89   ",Maisto tiekimo paslaugos oficialios delegacijos iš Vitebsko atstovams,"Turizmo agentūra AAA ""Wrislit""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 63514000-5,Paslaugos,44,2014-03-06,3/6/2014,2014-03-14 PVM sąskaita-faktūra Nr. VRI 149059,"UAB ""AAA Wrislit""",Taisyklių 74.10 punktas,-,"6,645.78   ",Turistų gido paslaugos oficialios delegacijos iš Vroclavo atstovams,"Turizmo agentūra AAA ""Wrislit""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 79313000-1,Paslaugos,45,2014-03-06,3/6/2014,2014-03-14 PVM sąskaita-faktūra Nr. VRI 149060,"UAB ""AAA Wrislit""",Taisyklių 74.10 punktas,-,"7,639.09   ",Kelionių agentūros paslaugos rezervuojant viešbučio paslaugas oficialios delegacijos iš Lvovo atstovams,"Turizmo agentūra AAA ""Wrislit""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 63510000-7,Paslaugos,46,2014-03-12,4/2/2014,2014-03-27 PVM sąskaita-faktūra Nr. HIVN 48387,"AB ""Valmeda"" viešbutis (Holiday in Vilnius)",Taisyklių 74.3punktas,-,"7,040.00   ",Paslaugos organizuojant apgyvendinimą atvykstančioms krepšinio komandos žaidėjams,"AB ""Valmeda"" (Holiday in Vilnius)",,,,
DK,Viešųjų ryšių skyrius,BVPŽ kodas 63510000-8,Paslaugos,47,2014-03-12,3/21/2014,2014-04-01 sutartis Nr. A64-46/14 (3.10.22-FN4),"UAB ""LUKRECIJOS REKLAMA""",-,-,"117,390.00   ",Veiklos tyrimo ir ataskaitos parengimo paslaugos,"UAB ""Ping Pong""; UAB ""Lukrecijos reklama""; UAB ""Brandworks""",,,,
MV,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,48,2014-03-12,3/12/2014,2014-03-18 PVM sąskaita-faktūra Nr. ALK13530,"Asociacija ""Lietuvos keliai""",Taisyklių 74.9 punktas,-,"2,101.77   ",Profesinių ir teisinių žinių egzaminas,"Asociacija ""Lietuvos keliai""",,,,
MV,Užsienio ryšių skyrius,BVPŽ kodas 55321000-6,Paslaugos,49,2014-03-12,3/12/2014,"2014-03-12 PVM sąskaita-faktūra AF14 Nr. 1080069 (UAB ""Amber Food); 2014-03-15 PVM sąskaita-faktūra Nr. MRK3270 (UAB ""Vikšris"")","UAB ""Amber Food"" ir UAB ""Vikšris""",Taisyklių 74.7 punktas,-,"5,127.03   ",Atvykstančių krepšinio komandų žaidėjų matinimas viešnagės metu,"UAB ""Amber Food""; UAB ""Vikšris""",,,,
MV,E. miesto departamentas, BVPŽ kodas 72260000-5,Paslaugos,50,2014-03-14,4/8/2014,2014-06-11 sutartis Nr. A64-76/14(3.10.22-AD4),"UAB ""ES4B""",Mažiausia kaina,-,"9,897.80   ",Mobiliosios aplikacijos pirkimas,"UAB ""ES4B""; UAB ""NFQ Solution""; UAB ""Macmanus""; UAB "" Metasite Business Solutions""",,,,
DK,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,Darbai,51,2014-03-14,2014.04.25 (negauta pasiūlymų); 2014-05-13,2014-05-21 sutartis Nr. A62-36/14(3.10.21-AD4),"UAB ""Stebulė""",Mažiausia kaina,-,"254,974.83   ",Kalnų parko parengimo dainų šventei darbai,"UAB ""Stebulė""",,,,
DK,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,Darbai,52,2014-03-14,2014.04.25 (negauta pasiūlymų); 2014-05-13,2014-05-21 sutartis Nr. A62-37/14(3.10.21-AD4),"UAB ""Stebulė""",Mažiausia kaina,-,"176,998.80   ",Vingio parko estrados parengimo dainų šventei darbai,"UAB ""Stebulė""; MB ""Srautaservis""",,,,
MK,Saugaus miesto departamentas,BVPŽ kodas 79714000-2,Paslaugos,53,2014-03-17,3/26/2014,2014-04-02 sutartis Nr. A64-50/14(3.10.22-SM),"UAB ""Faktumas""",Mažiausia kaina,-,"44,999.99   ",Stebėjimo paslaugos,"UAB ""Verslo bitė"", UAB ""Faktumas"", UAB ""Lyderio grupė""",,,,
MK,Užsienio ryšių skyrius,BVPŽ kodas 66510000-8,Paslaugos,54,2014-03-19,3/19/2014,2014-03-10 PVM sąskaita-faktūra Nr. VRI148891; 2014-03-14 PVM sąskaita-faktūra Nr. VRI149024,"Turizmo agentūra AAA ""Wrislit""",Taisyklių 7.3 punktas,-,91.20   ,Asmenų vykstančių į komandiruotę draudimas,"Turizmo agentūra AAA ""Wrislit""",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,55,2014-03-26,3/26/2014,2014-03-27 PVM sąskaita-faktūra Nr. EMC 140204,"UAB ""Ekonomiskos mokymų centras""",Taisyklių 74.9 punktas,-,820.00   ,Finansavimo sumų apskaita. Naujausi teisės aktų pakeitimai,"UAB ""Ekonomiskos mokymų centras""",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,56,2014-03-27,neįvyko,neįvyko,neįvyko,Taisyklių 74.9 punktas,-,0.00   ,Viešojo ir privataus sektorių partnerystės pirmosios išmoktos pamokos ir perspektyvos 2014 m.,neįvyko,,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,57,2014-03-27,neįvyko,neįvyko,neįvyko,Taisyklių 74.9 punktas,-,0.00   ,Mokesčiai 2014,neįvyko,,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,58,2014-03-27,3/27/2014,2014-04-14 PVM sąskaita-faktūra Nr. LMR 3003189,Mykolo Romerio Universitetas,Taisyklių 74.9 punktas,-,60.00   ,Efektyvumas viešajame administravime,Mykolo Romerio Universitetas,,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,59,2014-03-27,3/27/2014,2014-04-15 PVM sąskaita-faktūra Nr. ALK 13585,"Asociacija ""Lietuvos keliai""",Taisyklių 74.9 punktas,-,"1,437.48   ",Profesinių ir teisinių žinių egzaminas,"UAB ""SPSC""",,,,
MK,Personalo departamentas,BVPŽ kodas 92312200-3,Paslaugos,60,2014-03-27,3/27/2014,2014-04-07 PVM Sąskaita-faktūra Nr. SPSC1235-14M,"VĮ ""Statybos produkcijos sertifikavimo centras""",Taisyklių 74.9 punktas,-,300.00   ,Statybos specialistų teisinių žinių seminaras,"UAB ""SPSC""",,,,
MK,Lazdynų seniūnija,BVPŽ kodas 80522000-10,Paslaugos,61,2014-03-27,5/16/2014,2014--06-06 sutartis Nr. A64-73/14(3.10.22-AD4),"UAB ""Vikšris""",Mažiausia kaina,-,"9,952.36   ",Lazdynų Joninių šventės organizavimas,"UAB ""Le Terries""; Asociacija ""Šventė visiems""; UAB ""Vikšris""",,,,
MK,Pašilaičių seniūnija,BVPŽ kodas 92300000-4,Paslaugos,62,2014-03-27,5/8/2014,2014--05-28 sutartis Nr. A64-67/14(3.10.22-AD4),"VšĮ ""Kaliausė""",Mažiausia kaina,-,"5,000.00   ","Pašilaičių bendruomenės šventė ""Pašilaičių pavasaris - 2014""","UAB ""Vėjų fėja""; UAB ""Medusa Concert""; VšĮ ""Kaliausė""",,,,
MK,Pašilaičių seniūnija,BVPŽ kodas 45420000-7,Darbai,63,2014-03-27,4/16/2014,2014-04-28 sutartis Nr. A62-19/14(3.10.21-FN4),"UAB ""Namų priežiūros centras""",Mažiausia kaina,-,"2,950.00   ",6 rinkiminių apylinkių Pašilaičių seniūnijos teritorijoje įrengimas 2014 m. Prezidento rinkimams,"UAB ""Rakursas""; UAB ""Algrimitas""; UAB ""Namų priežiūros centras""",,,,
MK,Fabijoniškių seniūnija,BVPŽ kodas 45421000-4,Darbai,64,2014-03-28,4/14/2014,2014-04-14 sutartis Nr. A64-14/14(3.10.21-FN4),"UAB ""Srėdė ir Ko""",Mažiausia kaina,-,"4,100.00   ",Rinkimų apylinkių įrengimas,"UAB ""Sigvalda""; UAB ""Vilniaus Zunda""; UAB ""Srėdė"" ir Ko",,,,
MK,Karoliniškių seniūnija,BVPŽ kodas 79952100-3,Paslaugos,65,2014-03-31,5/7/2014,2014-05-19 sutartis Nr. A62-33/14 (3.10.21-AD4),Karoliniškių bendruomenė,Mažiausia kaina,-,"4,995.00   ","Bendruomenės šventės ""Pasitikime vasarą"" organizavimas","VšĮ ""Pasidalink""; VšĮ ""Lilibra""; ""Karoliniškių bendruomenė""' VšĮ ""Grijos vaikai"" (nepateikė pasiūlymo); VšĮ ""Beepart""  (nepateikė pasiūlymo)",,,,
MK,Karoliniškių seniūnija,BVPŽ kodas 50700000-2,Paslaugos,66,2014-03-31,8/5/2014,2014-09-15 sutartis Nr. A64-137/14(3.10.22-AD4),"UAB ""Karoliniškių būstas""",Mažiausia kaina,-,"2,940.00   ",Karoliniškių seniūnijos administracinių patalpų eksploatavimas ir priežiūra,"UAB ""Karoliniškių būstas"" UAB ""Lazdynų būstas""; UAB ""Justiniškių būstas""",,,,
MK,Karoliniškių seniūnija,BVPŽ kodas 45420000-7,Darbai,67,2014-03-31,4/14/2014,2014-04-30 sutartis Nr. A62-26/14(3.10.21-FN4),"UAB ""Trajana""",Mažiausia kaina,-,"4,160.00   ",Rinkimų apylinkių įrengimo darbai,"UAB ""Trajana""; MB ""Rimbriga""; UAB ""Zunda""",,,,
MK,Karoliniškių seniūnija,BVPŽ kodas 79953000-9,Paslaugos,68,2014-03-31,5/7/2014,2014-05-19 sutartis Nr. A62-32/14(3.10.21-AD4),"VšĮ ""Lilibra""",Mažiausia kaina,-,"4,980.00   ","Chorų festivalio ""Dainuojame Vilniui"" organizavimas","VšĮ ""Pasidalink""; VšĮ ""Lilibra""; ""Karoliniškių bendruomenė""' VšĮ ""Grijos vaikai"" (nepateikė pasiūlymo); VšĮ ""Beepart""  (nepateikė pasiūlymo)",,,,
