Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,11,"2012-02-02 PVM sąskaita faktūra Nr. E2010M 1878 UAB ""Ekspertų mugė""",774.4,Viešųjų pirkimų teorijos ir praktikos pokyčiai,"UAB ""Ekspertų mugė"""
Žvėryno seniūnija,BVPŽ kodas 09123000-7,12,"2012-03-15 sutartis Nr. A68-2 (3.10.23-FN4) AB ""Lietuvos dujos""",10000,Gamtinių dujų tiekimas,"UAB ""Dujotekana"", AB ""Lietuvos dujos"""
"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",17 paslaugų kategorija BVPŽ kodas 55300000-3,13,"2012-02-29 PVM sąskaita faktūra Nr. PAT 00677 UAB ""PATYS"", 2012-05-31 PVM sąskaita faktūra Nr. PAT 00711 UAB ""PATYS"", 2012-05-31 PVM sąskaita faktūra Nr. PAT 00710 UAB ""PATYS"", 2012-06-29 PVM sąskaita faktūra Nr. PAT 00717 UAB ""PATYS"", 2012-12-28 PVM sąskaita faktūra Nr. PAT 00761 UAB ""PATYS""",2004.24,Svečių aptarnavimo paslaugos savivaldybės administraciniame pastate,UAB PATYS
"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",BVPŽ kodas 03121210-0,14,"2012-03-01 PVM sąskaita faktūra Nr. SHIEU 00005548, 2012-04-10 PVM sąskaita faktūra Nr. SHIEU 00005685, 2012-06-08 PVM sąskaita faktūra Nr. SHIEU 00005880, 2012-07-12 PVM sąskaita faktūra Nr. SHIEU 00005985",8189.75,Gėlės,"UAB FLORISTAS, UAB ""Ogmėja"", UAB ""Interjeras ir gėlės"""
Žvėryno seniūnija,16 paslaugų kategorija BVPŽ kodas 905112004,15,"2012-02-29 sutartis Nr. A64-24(3.10.22-FN4) UAB ""Atliekų tvarkymo tarnyba""",1815.00,Žvėryno seniūnijos pastato S.Moniuškos g. 27 komunalinių - buitinių atliekų valymas,"UAB ""Atliekų tvarkymo tarnyba"", UAB ""Ecoservice"", UAB ""Ekonovus"""
"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",11 paslaugų kategorija BVPŽ kodas 79421100-2,16,"2012-09-06 sutartis Nr. A64-141 (3.10.22-KL) UAB ""Balanso auditas""",7768.59,"ES projekto ""Kūrybinės inovacijos"" finansinė kontrolė","UAB ""Auditas"", UAB ""Balanso auditas"", UAB ""Apskaitos ir mokesčių konsultacijos"""
Karoliniškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,17,,2999.16,Karoliniškių seniūnijos administracinių patalpų eksploatavimas ir priežiūra,"UAB ""Traukas"", UAB ""Viršuliškių būstas"", UAB ""Lazdynų būstas"", UAB ""Karoliniškių būstas"""
Personalo departamentas,10 paslaugų kategorija BVPŽ kodas 79311000-7,18,"2012-02-10 sutartis Nr. A64-16(3.10.22-FN4) IĮ ""Eurotela""",7998.1,Atrankinė VMS gyventojų apklausa telefonu,"UAB ""RAIT"", IĮ ""Eurotela"", TNS LT"
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45316100-6,19,"2012-02-09 sutartis Nr. A62-2(3.10.21-UK) UAB ""Švenčių studija""",59895,"Šventinis Gedimino pr., Rotušės a. papuošimas dekoratyviniais elementais tautine simbolika valstybinių švenčių proga","UAB ""Švenčių studija"", VšĮ „Oreivystės centras“,  VšĮ „Vizualinių komunikacijų studija“"
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45262670-8,20,"2012-05-03 sutartis Nr. A62-7 (3.10.21-UK) UAB ""BISERIS""",22470.91,"Gatvių pavadinimų lentelių, statinių numerių gamyba ir tvirtinimo darbai","UAB ""ZONA OPTIMA"", UAB ""BISERIS"""
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45215400-1,21,2012-04-18 sutartis Nr. A62-3(3.10.22-UK) Mindaugas Šnipas,52000,Lietuvos Nepriklausomybės Akto signataro antkapio atributikos pagaminimas ir įmontavimas,Mindaugas Šnipas
E. miesto departamentas,BVPŽ kodas 38652120-7,22,"2012-03-23 sutartis Nr. A68-3(3.10.23-FN4) UAB ""D.E.Solutions""",4870.25,Projektoriaus pirkimas,"UAB ""D.E.Solutions"", UAB ""Konferencijų ir audiovizualinės sistemos"", UAB ""Konferenta"""
Lazdynų seniūnija,16 paslaugų kategorija BVPŽ kodas 90121200-3,23,"2012-04-19 sutartis Nr. A64-46(3.10.22-FN4) UAB ""VSA""",9000.00,Komunalinių atliekų išvežimas iš Lazdynų turgavietės Architektų g. 19 ,"UAB ""VSA"", UAB ""Atliekų tvarkymo tarnyba"", UAB ""Ecoservice"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,24,2012-02-14 PVM sąskaita faktūra Nr. KVC 0006675 VGTU Kokybės vadybos centras,1200,Statinio projekto vadovų kvalifikacijos kėlimo seminaras,VGTU Kokybės vadybos centras
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,25,"2012-02-29 PVM sąskaita faktūra Nr. E2010M 1908 UAB ""Ekspertų mugė""",774.4,"""Viešieji pirkimai: aktualiausi pokyčiai ir ginčų reguliavimo bei bylų nagrinėjimo ypatumai""","UAB ""Ekspertų mugė"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,26,"2012-02-10 PVM sąskaita faktūra Nr. DPF K0120 VšĮ ""Demokratijos plėtros fondas""",10000,"""Lietuvos ekonomika 2012-aisiais"" (Lietuvos ekonomikos konferencija)","VšĮ ""Demokratijos plėtros fondas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,27,2012-03-15 PVM sąskaita faktūra Nr. KVC 0006747 VGTU Kokybės vadybos centras,2100,Projekto vadovų atestavimo kursai,VGTU Kokybės vadybos centras
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,28,2012-03-15 PVM sąskaita faktūra Nr. KVC 0006730 VGTU Kokybės vadybos centras,3850,Projekto vadovų parengimas atestacijai,VGTU Kokybės vadybos centras
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,29,"2012-06-08 PVM sąskaita faktūra Nr. 758-12ATSp VĮ ""Statybos produkcijos sertifikavimo centras""",2255,"""Teisinių žinių patikrinimo egzaminas projekto vadovams""",Statybos produkcijos sertifikavimo centras
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,30,2012-03-27 PVM sąskaita faktūra Nr. VK 12-035 LSIS Vilniaus klubas,3960,"""Profesinių žinių patikrinimo egzaminas projekto vadovams""",Lietuvos statybos inžinierių sąjunga Vilniaus klubas
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,31,"2012-03-05 PVM sąskaita faktūra Nr. MCD 007208 VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava""",2555,Vietos savivalda: komunikacija savivaldos institucijose. Savivaldos organizavimas,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Miesto ūkio ir transporto d-tas (Statinių (Infrakstruktūros) skyrius),12 paslaugų kategorija BVPŽ kodas 71319000-7,32,"2012-03-23 sutartis Nr. A64-32(3.10.22-UK) UAB ""Statybos ekspertų biuras""",19360,IXB Transporto koridoriaus (Žirnių g) ir Vilniaus tarptautinio oro uosto jungties techninio projekto bendroji ekspertizė,"UAB ""Statybos ekspertų biuras"", UAB „Darbasta“, UAB „Projektų ekspertizė“ "
"Švietimo, kultūros ir sporto departamentas Sporto skyrius",8 paslaugų kategorija BVPŽ kodas 73120000-9,33,"2012-04-25 sutartis Nr. A64-54(3.10.22-KS) Vilma Čingienė, 2012-04-25 sutartis Nr. A64-53(3.10.22-KS) Algis Vasiliauskas, 2012-04-25 sutartis Nr. A64-51(3.10.22-KS)  Algimantas Gudiškis, 2012-04-25 sutartis Nr. A64-52(3.10.22-KS) Kazys Milašius, 2012-04-25 sutartis Nr. A64-50(3.10.22-KS) Valentinas Paketūras",9900,Kūno kultūros ir sporto rėmimo programų projektų konkurso paraiškų vertinimas,"Vilma Čingienė, Mindaugas Gobikas, Juzefa Kindurienė, Algis Vasiliauskas, Genovaitė Astrauskienė, Martynas Šlikas, Algimantas Gudiškis, Jurga Purlienė, Linas Kunigėlis, Kazys Milašius, Aivaras Salamakinas, Algirdas Raslanas, Valentinas Paketūras, Arūnas Kazlauskas, Gintautas Bartkus"
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45112714-3,34,"2012-06-04 sutartis Nr. A62-20(3.10.21-UK) UAB 'Užupio statyba""",320409.21,Valstybės vadovų palaidojimo vietos sutvarkymas Antakalnio kapinėse,"UAB ""Akordas 1"", UAB ""Gamtovaizdis"", UAB ""Užupio statyba"", UAB ""Tvirta"""
Naujamiesčio seniūnija,BVPŽ kodas 44510000-8,35,"2012-06-05 sutartis Nr. A68-10(3.10.21-FN4) UAB ""Senukų prekybos centras""","44,174.99","Įrankiai, higienos ir apsauginės priemonės viešųjų darbų programai vykdyti","UAB ""Vėjuva"", UAB ""Sentios"", UAB ""Senukų prekybos centras"""
Ekonomikos ir investicijų departamento Turizmo skyrius,11 paslaugų kategorija BVPŽ kodas 79421200-3,36,"2012-04-05 sutartis Nr. A64-38(3.10.22-EK) VšĮ ""KULTUR""",9000,"ES struktūrinės paramos priemonės VP3-1.3.-ŪM-05-R Viešosios turizmo infrastruktūros ir paslaugų plėtra regionuose projekto „Kultūrinio turizmo maršruto po istorines Lietuvos sostines – Kernavę, Trakus ir Vilnių sukūrimas“ pagrindimo ir koncepcijos parengimas","VšĮ ""Turizmo plėtros institutas"", VšĮ ""KULTUR"", VšĮ ""Baltijos turizmo institutas"""
Panerių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,37,"2012-06-28 sutartis Nr. A64-92(3.10.33-FN4) UAB ""Naujininkų ūkis""",3059.04,Panerių seniūnijos naudojamų patalpų eksploatavimo paslaugos,"UAB ""Naujininkų ūkis"""
Aprūpinimo ir transporto skyrius,1 paslaugų kategorija BVPŽ kodas 51312000-2,38,"2012-04-17 sutartis Nr. A64-45(3.10.22-FN4) UAB ""Vinita""",3000,Kabelinės televizijos paslaugos Savivaldybės administraciniame pastate Konstitucijos pr. 3,"UAB ""Vinita"", UAB ""Viginta"", UAB ""Balticum TV"", UAB ""Penkių kontinentų komunikacijų centras"""
E. miesto departamentas,BVPŽ kodas 32342300-5,39,"2012-04-19 sutartis Nr. A68-5(3.10.22-FN4) UAB ""Konferenta""",7733.11,Garso įrangos pirkimas,"UAB ""Konferenta"", UAB ""Konferencijų ir audiovizualinės sistemos"", UAB ""D.E.Solutions"""
E. miesto departamentas,7 paslaugų kategorija BVPŽ kodas 50321000-1,40,"2012-04-05 sutartis Nr. A64-37(3.10.22-FN4) UAB ""Servisa ICT""",1698,Apple MacBook kompiuterio remontas,"UAB ""Servisa ICT"", UAB ""Blue Bridge"", UAB ""Desktop publishing computers"""
"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",11 paslaugų kategorija BVPŽ kodas 79421000-1,41,2012-04-20 sutartis Nr. A64-48(3.10.22-KS) Erika Kuročkina,"3,630.00","ES projekto ""ZEN-kultūrinio paveldo renginių tinklas"" techninio asistento paslaugos","Erika Kuročkina, Ilona Šliožytė, Ringailė Papartytė"
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,42,"2012-04-20 sąskaita faktūra Nr.  17528 UAB Mokslinė firma ""Ergonominis saugumas""",4750,"Seminaras ""Darbuotojų saugos ir sveikatos mokymai"".","UAB Mokslinė firma ""Ergonominis saugumas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,43,"Pirkimas neįvyko, gautas tarnybinis raštas",,"Seminaras ""Aplinkos triukšmo nustatymas ir padidintą triukšmą mažinančių priemonių planavimas"".",
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,44,"2012-04-23 PVM sąskaita faktūra Nr. MSI 027735 UAB ""Mokesčių srautas""",1633.5,"Seminaras ""Valstybės tarnyba ir darbo santykiai: ypatumai, problematika, aktuali teismų praktika"".","UAB ""Mokesčių srautas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,45,"2012-03-15 PVM sąskaita faktūra Nr. CON 201203-004 UAB ""Consultores""",270,"Seminaras ""Investicijų plano parengimas senų daugiabučių atnaujinimui. Rangos darbų skaičiuojamosios kainos nustatymas: kaip išvengti klaidų? Pasikeitusių teisės aktų apžvalga. 2012 m. Naujovės. Praktiniai patarimai. Atsakymai į klausimus"". ","UAB ""Consultores"""
Naujininkų seniūnija,BVPŽ kodas 45233200-1,46,"2012-04-23 sutartis Nr. A62-4(3.10.21-FN4) UAB ""Grinda""",19999.99,"Asfalto/betono šaligatvių, laiptų remonto darbai","AB ""Eurovia Lietuva"", UAB ""Grinda"", UAB ""Kerista"""
Naujininkų seniūnija,BVPŽ kodas 45236119-7,47,"2012-04-23 sutartis Nr. A62-5(3.10.21-FN4) UAB ""Stebulė""","19,999.99",Sporto aikštelių įrenginių ir dangos remonto darbai,"UAB ""Trajana"", UAB ""Kerista"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45233253-7,48,"2012-04-23 sutartis Nr. A62-6(3.10.21-FN4) UAB ""Stebulė""",12196.8,"Pėsčiųjų takų, dengtų skalda ir kita kieta danga, remonto darbai","UAB ""Trajana"", UAB ""Kerista"", UAB ""Stebulė"""
Naujininkų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,49,"2012-05-22 sutartis Nr. A64-65(3.10.22-FN4) VšĮ ""Muzikos turo pramogos""",7898,"Renginių techninio aprūpinimo paslaugos (scenų, suolų įrengimas)","VšĮ ""Vilniau miesto parkai"", A. Rašausko personali firma ""Sporto reklama"", VšĮ ""Muzikos turo pramogos"""
"Švietimo, kultūros ir sporto departamentas Švietimo skyrius",17 paslaugų kategorija BVPŽ kodas 55320000-9,50,NEVYKDĖ,,Maitinimo paslaugos Savivaldybės administraciniame pastate,
"Švietimo, kultūros ir sporto departamentas Švietimo skyrius",2 paslaugų kategorija BVPŽ kodas 60120000-5,51,"2012-04-25 sutartis Nr. A64-55(3.10.22-KS) UAB ""Standart taksi""",7500,Taksi paslaugos egzaminų medžiagai vežioti,"UAB ""Standart taksi"", UAB ""Merseros taksi"", UAB ""Romerta"", VšĮ ""Vilnius veža"""
Aprūpinimo ir transporto skyrius,14 paslaugų kategorija BVPŽ kodas 90914000-7,52,"2012-04-23 sutartis Nr. A64-49(3.10.22-FN4) UAB ""Švarus pasaulis""",1614.87,"Savivaldybės administracinio pastato, Konstitucijos pr. 3, požeminio garažo valymo paslaugos","UAB ""AINAVA"", UAB ""Dussmann Service"", I.Gramacko IĮ ""IRMAS"", UAB ""VITARESTA"", UAB ""Švarus pasaulis"""
E. miesto departamentas,BVPŽ kodas 72261000-2,53,"2012-05-23 sutartis Nr. A64-66(3.10.22-FN4) UAB ""DPA Lietuva""",33000,Elektroninio pašto serverio versijos atnaujinimo paslauga,"UAB ""DPA Lietuva"", Ūkio subjektų grupė: UAB ""Alna Intelligence"" ir UAB ""TOWI"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,54,"2012-04-12 sutartis Nr. A64-44(3.10.22-FN4) UAB ""Kalba.lt""","9,900.00",Individualūs anglų kalbos mokymai,"UAB ""Kalba.lt"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,55,"2012-03-30 PVM s faktūra Nr. EX9705 UAB ""Ekspozona""",423.5,Pastato prižiūrėtojo ir šilumos tiekėjo veiklų atskyrimas. Šilumos ūkio ir atsinaujinančių išteklių energetikos įstatymų bei poįstatyminių teisės aktų taikymo praktika,"UAB ""Ekspozona"""
Žirmūnų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,56,"2012-06-19 sutartis Nr. A64-84(3.10.22-FN4) UAB 'Stebulė""",7641.15,Renginių techninis aprūpinimas ir įgarsinimas,"UAB ""Stebulė"", UAB ""Genflora"", UAB ""Vilniaus Zunda"""
Žirmūnų seniūnija,BVPŽ kodas 45236290-9,57,"2012-06-26 sutartis Nr. A62-34(310.21-FN4) UAB 'Statvilsta""",19999,"Sporto aikštelių, suoliukų ir džiovyklų remonto darbai","UAB ""Stebulė"", UAB ""Statvilsta"", UAB ""Rugosa"""
Žirmūnų seniūnija,BVPŽ kodas 45233200-1,58,"2012-06-07 sutartis Nr. A62-22(3.10.21-FN4) UAB ""Stebulė""",2505,Betoninių laiptų remonto darbai,"UAB ""Trajana"". UAB ""Grinda"", UAB ""Stebulė"""
Žirmūnų seniūnija,BVPŽ kodas 45233200-1,59,"2012-06-07 sutartis Nr. A62-23(3.10.21-FN4) UAB ""Stebulė""",19999,"Smulkūs šaligatvių, asfalto ir kitų kietų dangų remonto darbai","UAB ""Trajana"", UAB ""Grinda"", UAB ""Stebulė"""
Naujamiesčio seniūnija,BVPŽ kodas 45233200-1,60,"2012-06-05 sutartis Nr. A62-21(3.10.21-FN4) UAB ""Grinda""",16600,Naujamiesčio seniūnijos šaligatvių dangos remonto darbai,"UAB ""Gatvių statyba"", UAB ""Kerista"", UAB ""Grinda"""
Šeškinės seniūnija,BVPŽ kodas 45233200-1,61,"2012-07-27 sutartis Nr. A62-50(3.10.21-FN4) UAB ""Stebulė""",19200,"Smulkus šaligatvių, kietų dangų ir laiptų remontas","UAB ""Stebulė"", UAB ""Trajana"", UAB ""Vilniaus Zunda"""
Rasų seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,62,"2012-05-31 sutartis Nr. A64-71(3.10.22-FN4) UAB ""Senamiesčio ūkis""",2945.04,Rasų seniūnijos patalpų administravimo paslaugų pirkimas,"UAB ""Senamiesčio ūkis"""
Šeškinės seniūnija,BVPŽ kodas 45236290-9,63,"2012-07-27 sutartis Nr. A62-51(3.10.21-FN4) UAB ""Stebulė""",19999.99,"Medinių, metalinių vaikų žaidimų bei sporto aikštelių ir suoliukų remonto darbai","UAB ""Stebulė"", UAB ""Trajana"", UAB ""Vilniaus Zunda"""
Justiniškių seniūnija,BVPŽ kodas 45233200-1,64,2012-05-31 sutartis Nr. A62-17(3.10.21-FN4) IĮ E.Michnevič,17399.99,Smulkūs šaligatvių ir kitų kietų dangų ir laiptų  remonto darbai,"UAB ""Narco statyba"", UAB ""Volmira"", IĮ E. Michnevič"
Verkių seniūnija,BVPŽ kodas 45233200-1,65,"2012-05-18 sutartis Nr. A62-11(3.10.21-FN4) UAB ""Gatvių statyba""",19999.99,Verkių seniūnijos daugiabučių namų kiemų įvairių dangų remonto  darbai,"UAB ""Gatvių statyba"", UAB ""Kerista"", UAB ""Grinda"""
Verkių seniūnija,BVPŽ kodas 45341000-9,66,"2012-05-18 sutartis Nr. A62-13(3.10.21-FN4) UAB ""Stebulė""",10648,Verkių seniūnijos bendrojo naudojimo laiptų turėklų montavimo darbai,"UAB ""Stebulė"", UAB ""Trajana"", UAB ""Metalo sprendimai"""
Verkių seniūnija,BVPŽ kodas 45236290-9,67,"2012-06-29 sutartis Nr. A62-36(3.10.21-FN4) UAB ""Stebulė""",19980.91,Verkių seniūnijos sporto aikštelių remonto ir atnaujinimo darbai,"UAB ""Stebulė"", UAB ""Alvora"", UAB ""Vilniaus Zunda"""
Verkių seniūnija,BVPŽ kodas 45262310-7,68,"2012-05-18 sutartis Nr. A62-12(3.10.21-FN4) UAB ""Stebulė""","16,477.78","Verkių seniūnijos suolų įrengimo ir remonto, medinių laiptų  remonto  darbai","UAB ""Stebulė"", UAB ""Trajana"", UAB ""Metalo sprendimai"""
Verkių seniūnija,BVPŽ kodas 15800000-6,69,2012-04-08 PVM sąskaita faktūra Nr. ZIN 0093 G. Zinkevičienės personalinė įmonė,"3,641.08 Lt",Maisto prekės seniūnijos bendruomenės renginiams organizuoti,"UAB ""Lukre"", G. Zinkevičienės personalinė įmonė, UAB ""K. Šriupšos kavinė-baras"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45312100-8 45312200-9,70,"2012-05-03 sutartis Nr. A62-8 (3.10.21-FN4) UAB ""GRIFS AG""",17992.49,Gaisrinės ir apsaugos nuo įsilaužimo signalizacijų  projektavimo ir įrengimo darbai,"UAB ""GRIFS AG"", UAB ""Vojažeris"", IĮ ""Sauginta"""
E. miesto departamentas,27 paslaugų kategorija BVPŽ kodas 64100000-7,71,2012-08-24 sutartis Nr. A64-134 (3.10.22-AD13) AB Lietuvos paštas,30000,Kurjerinių pašto siuntų paslaugos,"UAB ""Greitasis kurjeris"", AB ""Lietuvos paštas"""
Naujamiesčio seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,72,2012-06-11 sutartis Nr. A64-82(3.10.22-FN4) Lietuvos pagyvenusių žmonių asociacija,9970,Naujamiesčio seniūnijos bendruomenės kultūrinio renginio organizavimas,"Lietuvos pagyvenusių žmonių asociacija (LŽPA), VšĮ Vilniaus kultūros, pramogų ir sporto rūmai"", UAB ""Zidarvita"""
Naujosios vilnios seniūnija,BVPŽ kodas 45236290-9,73,"2012-05-29 sutartis Nr. A62-16(3.10.21-FN4) UAB ""Gedulis""",19922.35,Vaikų žaidimo aikštelių ir sporto aikštelių įrengimo ir remonto darbai,"UAB ""Menhiras"", UAB ""Gedulis"", UAB ""Languvita"""
Naujosios vilnios seniūnija,BVPŽ kodas 45236290-9,74,"2012-09-12 sutartis Nr. A62-99 (3.10.21-FN4) UAB ""Rudmė""",9800,Laiptų suoliukų įrengimo ir remonto darbai,"UAB ""Rudmė"", UAB ""Master beton"", UAB ""Tavo aplinkos vizija"""
Naujosios vilnios seniūnija,BVPŽ kodas 15800000-6,75,2012-06-23 PVM sąskaita faktūra Nr. RAS 00210 A. Rusakevičienės IĮ,499,"Vaišės renginio svečiams (Paparčio žiedas, Kalėdos)","A. Rusakevičienės IĮ, Danutės Nekraėevič IĮ, I. Žukovskajos IĮ"
Naujosios vilnios seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,76,"2012-05-21 sutartis Nr. A64-64(3.10.22-FN4) BĮ ""Naujosios Vilnios kultūros centras""",4980,"Kalėdų, Paparčio žiedo švenčių organizavimo paslaugos","Kirtimų kultūros centras, Grigiškių kultūros centras, Naujosios Vilnios kultūros centras"
Viešųjų ryšių skyrius,13 kategorija                      BVPŽ kodas 79340000-9                ,77,"2012-05-11 PVM sąskaita faktūra Nr. 0049 UAB ""Lukrecijos reklama""",9999.44,Reklamos ir rinkodaros paslaugos,"UAB ""Misiukevičius ir partneriai"", UAB ""Lukrecijos reklama"", UAB ""Pink Pong"""
E. miesto departamentas,15 paslaugų kategorija BVPŽ kodas 79822500-7,78,"2012-05-15 sutartis Nr. A64-61(3.10.22-FN4) UAB ""New agency""",2420,Elektroninės kortelės dizaino pirkimas,"UAB ""Not Perfect"", UAB ""New Agency"", UAB ""Ad Love"""
E. miesto departamentas,7 paslaugų kategorija BVPŽ kodas 72260000-5,79,"2012-07-04 sutartis Nr. A64-96(3.10.22-FN4) UAB ""AVSC Simple""",8990,Mobiliosios aplikacijos pirkimas,"UAB ""M2 TECHNOLOGIJOS"", UAB ""TELESOFTAS"", UAB ""BALTICODE"", UAB ""Mobi Solutions"", UAB ""Ateities idėjos"", UAB ""Itero"", UAB ""Utopus"", UAB ""AVSC SIMPLE"", UAB 'LIMPUS"", UAB ""DIGITOUCH"", UAB ""ELEKTRONIC LAB"", UAB ""4SPIN"", UAB ""APPIN"""
Šnipiškių seniūnija,BVPŽ kodas 45233253-7,80,"2012-05-14 sutartis Nr. A62-9-(3.10.21-FN4) UAB ""Akordas 1""",19700,Įvažiavimų į kiemus šaligatvių remontas,"UAB ""Akordas-1"", UAB ""Grinda"", UAB ""Kerista"""
