Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.", Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Miesto ūkio ir transporto departamentas,BVPŽ kodas 39560000-5,19,2013-03-20 sutartis Nr. A68-9 (3.10.23-UK) VšĮ Vizualinių komunikacijų studija,"  9,982.00 Lt ",Tekstilės gaminiai su Vilniaus miesto simbolika,"VšĮ ""Dizaino artelė"", UAB ""Reklamos klasės grupė"", VšĮ ""Vizualinių komunikacijų studija"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421141-4,20,Neįvyko,,Modulinių pertvarų montavimas,
Saugaus miesto departamentas,23 paslaugų kategorija BVPŽ kodas 79714000-2,20/1,"2013-05-08 sutartis Nr. A64-29 (3.10.22-SM) UAB ""Fima""","  119,717.40 Lt ",Vaizdo stebėjimo kamerų sistemos vaizdo transliavimo paslaugos,"UAB ""Fima"""
Naujamiesčio seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,21,2013-05-09 sutartis Nr. A64-30 (3.10.22-FN4) Vilniaus miesto vyresniojo amžiaus žmonių asociacija,"  4,970.00 Lt ",Naujamiesčio seniūnijos bendruomenės kultūrinio renginio organizavimas,"Vilniaus miesto vyresniojo amžiaus žmonių asociacija, Lietuvos pagyvenusių žmonių asociacija, Lietuvos našlaičių brolija"
Kultūros skyrius,17 paslaugų kategorija BVPŽ kodas 55300000-3,22,"2013-11-15 PVM sąskaita faktūra Nr. PAT00844, 2013-11-15 Nr. PAT00843, 2013-11-08, 2013-10-31 Nr. PAT00835, 2013-05-06, 2013-10-31 Nr. PAT00836, 2013-10-18, 2013-09-30 Nr. PAT00822, 2013-09-20 Nr. PAT00821, 2013-04-28 Nr. PAT00805, 2013-06-03 Nr. PAT00802, 2013-04-30 Nr. PAT00792, 2013-03-29 PAT00781, 2013-04-25, 2013-03-29 Nr. PAT00785, 2013-03-08/25","  9,900.00 Lt ",Svečių aptarnavimo paslaugos Savivaldybės administraciniame pastate,"UAB ""PATYS"""
Žveryno seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,23,2013-07-11 sutartis Nr. A64-61(3.10.22-FN4) Asociacijos žvėryno bendruomenės daugiafunkcinis centras,"  4,980.00 Lt ",Žveryno seniūnijos bendruomenės kultūrinio renginio organizavimas,"Žvėryno bendruomenės daugiafunkcinis centras, Vilniaus suaugusiųjų mokymo centras, Vilniaus Žvėryno gimnazija"
Saugaus miesto departamentas,BVPŽ kodas 38651000-3,24,"2013-05-10 sutartis Nr. A68-16 (3.10.23-SM) UAB ""Vilta""","  10,121.65 Lt ",Fotoaparatai,"UAB ""Bioeksma"", UAB ""Biznio mašinų kompanija"", UAB ""Vilta"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,25,"2013-03-14 PVM sąskaita faktūra Nr. ERA 365 UAB ""Žinių era""","  3,513.84 Lt ","Statybos įstatymo ir jį įgyvendinančių teisės aktų svarbiausi pakeitimai, naukovės, aktualijos","UAB ""Žinių era"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,26,"2013-04-10 PVM sąskaita faktūra Nr. CONFINN01756 UAB ""Confinn""",  870.00 Lt ,Mokesčiai 2013: probleminiai aspektai ir sprendimai praktikams,"UAB ""Confinn"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,27,"2013-04-26 PVM sąskaita faktūra Nr. DN940 UAB ""Data miner""","  7,500.00 Lt ",CentOS Linux Enterprise Server pradedantiesiems,"UAB ""DATA MINER"""
Kultūros skyrius,BVPŽ kodas 03121210-0,28,"2013-08-09 PVM sąskaita faktūra Nr. SHIEU00007208, 2013-10-07 PVM sąskaita faktūra Nr. SHIEU00007378","  8,590.90 Lt ",Gėlės,"UAB ""Interjeras ir gėlės"", UAB ""Ogmėja"", UAB ""Floristas:"
Naujamiesčio seniūnija,BVPŽ kodas 44510000-8,29,"2013-05-17 sutartis Nr. A68-17 (3.10.23-FN4) UAB ""Senukų prekybos centras""","  23,659.31 Lt ","Įrankiai, higienos ir apsauginės priemonės viešųjų darbų programai vykdyti","UAB ""Sentios"", UAB ""Senukų prekybos centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,30,"2013-03-14 PVM sąskaita faktūra Nr. ERA 374 UAB ""Žinių era""",  638.88 Lt ,"Statybos įstatymo ir jį įgyvendinančių teisės aktų svarbiausi pakeitimai, naukovės, aktualijos","UAB ""Žinių era"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45262670-8,31,"2013-05-23 sutartis Nr. A62-13 (3.10.21-UK) UAB ""Zona optima""","  217,800.00 Lt ","Gatvių pavadinimų lentelių, statinių numerių gamyba ir tvirtinimo darbai","UAB ""Doverta"", UAB ""Zona optima"""
Aprūpinimo ir transporto skyrius,11 paslaugų kategorija BVPŽ kodas 79419000-4,31/1,"2013-03-27 sutartis Nr. A64-16 (3.10.22-FN4) UAB ""Sagauta""","  3,000.00 Lt ",Draudimo paslaugų vertinimo konsultacinės paslaugos,"UADBB ""Drauvelita"", UADBB ""Investicijų brokeris"", UADBB ""Sagauta"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421131-1,32,"2013-04-30 sutartis Nr. A62-10(3.10.21-FN4) UAB ""Inreal pastatų priežiūra""","  2,382.93 Lt ",Durų įstatymas ir dažymas,"UAB ""Inreal pastatų priežiūra"", UAB ""Vilniaus statybos trestas"", UAB ""Baltijos statybos verslo grupė"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,33,"2013-03-29 PVM sąskaita faktūra Nr. ID 2013-20 UAB ""ID Consulting""","  4,200.00 Lt ",Teisės aktų ar jų projektų antikorupcinis vertinimas,"UAB ""ID Consulting"""
Lazdynų seniūnija,26 paslaugų kategorija BVPŽ kodas 92312200-3,34,"2013-06-04 sutartis Nr. A64-44 (3.10.22-FN4) UAB ""Vikšris""","  4,985.20 Lt ",Lazdynų Joninių šventės organizavimas,"UAB ""Le Terrier"", Asociacija "" Šventė visiems"", UAB ""Vikšris"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 39515430-8,35,"2013-04-17 sutartis Nr. A68-15 (3.10.23-FN4) UAB ""Domus Lumina""","  1,202.24 Lt ",Pakeliamos žaliuzės,"UAB ""Dextera"", UAB ""Domus Lumina"", UAB ""Vainita"", V. Stropaus firma ""Lauresta"", UAB ""Eurotesa"""
Miesto plėtros departamentas,BVPŽ kodas 22120000-7,36,"2013-04-04 PVM sąskaita faktūra Nr. F-13-12 VšĮ ""Actus Musicus""","  1,800.00 Lt ","Leidinys ""Vilniaus naujosios architektūros gidas"" anglų kalba","Knygynų tinklo ""Pegasas"" biuras, Knygynų tinklas VAGA, VšĮ ""Actus Musicus"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,37,2013-03-25 PVM sąskaita faktūra Nr. VZK13119593,  784.04 Lt ,Viešieji pirkimai 2013: sprendimai verslui. ES lėšų įsisavinimo problemos: kaip išvengti procedūrinių pažeidimų ir sankcijų,"UAB ""Verslo žinios"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,38,Neįvyko,,Efektyvumas viešajame sektoriuje: kuo vadybos teorijos gali pasitarnauti ir ką praktikai gali patarti?,
Verkių seniūnija,BVPŽ kodas 45236290-9,39,"2013-06-04 sutartis Nr. A62-15 (3.10.21-FN4) UAB ""Stebulė""","  13,299.11 Lt ","Verkių seniūnijos suolų, laiptų turėklų montavimo, remonto darbai","UAB ""Stebulė"", UAB ""Trajana"", UAB ""Grinda"""
Verkių seniūnija,BVPŽ kodas 45236290-9,40,"2013-06-04 sutartis Nr. A62-14 (3.10.21-FN4) UAB ""Stebulė""","  9,976.45 Lt ","Verkių seniūnijos sporto aikštelių ir jų įrangos remonto, atnaujinimo darbai","UAB ""Stebulė"", UAB ""Grinda"", UAB ""Metalo sprendimai"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 38500000-0,41,"2013-04-15 sutartis Nr. A68-13 (3.10.23-FN4) UAB ""Capsa""","  2,420.00 Lt ",Alkotesteris su spausdinimo įranga bei papildomu kiekiu antgalių,"UAB ""Smart Business Agency"", UAB ""Alkotesteris"", UAB ""Capsa"", UAB ""Baltica IT Solutions"""
Verkių seniūnija,BVPŽ kodas 45236290-9,42,"2013-06-11 sutartis Nr. A64-49 (3.10.22-FN4) Asociacija ""Baltupių savivaldos centras CEDRONAS""","  2,392.00 Lt ",Verkių seniūnijos vaikų ir jaunimo laisvalaikio užimtumo renginių organizavimas,"Asociacija ""Visorių bendruomenės asociacija"", Asociacija ""Baltupių savivaldos centras Cedronas"", Asociacija ""Jeruzalės bendruomenės centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,43,"2013-04-12 PVM sąskaita faktūra Nr. MCD 008213, Nr. MCD 008206, Nr. 008207","  2,085.00 Lt ",Seminaras seniūnams ir seniūnijų darbuotojams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,44,"2013-04-18 PVM sąskaita faktūra Nr. CON 201304-29 UAB ""Consultores""",  701.80 Lt ,Daugiabučių atnaujinimo paslaugų bei darbų viešieji pirkimai. Pirkimai per CPO. Praktiniai patarimai,"UAB ""Consultores"""
Ekonomikos ir investicijų departamentas,1 paslaugų kategorija BVPŽ kodas 50700000-2,45,"2013-05-28 sutartis Nr. A64-38(3.10.22-EK) UAB ""Naujamiesčio būstas""","  9,991.85 Lt ","Remonto ir priežiūros paslaugos, susijusios su pastatais","UAB ""Naujamiesčio būstas"", UAB ""Karoliniškių būstas"", UAB ""Šnipiškių ūkis"""
Viršuliškių seniūnija,BVPŽ kodas 45236290-9,46,2013-08-19 sutartis Nr. A62-44(3.10.22-FN4) IĮ E. Michnevič,"  19,481.00 Lt ",Suoliukų remontas,"UAB ""Baltijos prekyba"", UAB ""Re-mono"", IĮ E. Michnevič"
Viešųjų ryšių skyrius,13 paslaugų kategorija BVPŽ kodas 79340000-9,47,Vilniaus kultūros centras,"  3,811.50 Lt ",Reklamos ir rinkodaros paslaugos,"UAB ""RGB"", Vilniaus kultūros centras, UAB ""Anoniminių darboholikų klubas"""
Viešųjų ryšių skyrius,10 paslaugų kategorija BVPŽ kodas 79311200-9,48,2013-04-30 Sąskaitos Nr. A0020832 ir A0020845;  2013-05-31 Nr. A0020939,"  4,386.25 Lt ",Žiniasklaidos stebėsena,"UAB ""BNS"", UAB ""JS sprendimai"", UAB ""Mediaskopas"""
Naujosios Vilnios seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,49,"2013-06-13 sutartis Nr. A64-50 (3.10.22-FN4) UAB ""Priemiestis""","  9,000.00 Lt ",Naujosios Vilnios seniūnijos naudojamų patalpų administravimo paslaugų pirkimas,"UAB ""Priemiestis"""
Karoliniškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,50,"2013-08-21 sutartis Nr. A64-93(3.10.22-FN4) UAB ""Karoliniškių būstas""","  2,760.00 Lt ",Karoliniškių seniūnijos administracinių patalpų eksploatavimas ir priežiūra,"UAB ""Karoliniškių būstas"", UAB ""Inreal pastatų priežiūra"", UAB ""Jurita"", UAB ""Priemiestis"""
Karoliniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,51,"2013-05-31 sutartis Nr. A64-42 (3.10.22-Fn4) VšĮ ""Show production""","  5,000.00 Lt ",Bendruomenės renginių techninis aprūpinimas,"VšĮ ""Show production"", UAB ""Scena LT"", UAB ""Scenos techninis servisas"", Karoliniškių bendruomenė, VšĮ ""Lilibra"", VšĮ ""BEEPART"""
Karoliniškių seniūnija,BVPŽ kodas 45236290-9,52,"2013-07-11 sutartis Nr. A62-26(3.10.21-FN4) UAB ""Aiža""","  6,000.00 Lt ",Suoliukų ir kitos kiemų įrangos remonto darbai,"UAB ""Aiža"", UAB ""Julsata"", UAB ""Midogė"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,53,"2013-04-25 PVM sąskaita faktūra Nr. LL 0864 UAB ""Lingua Lituanica""",  300.00 Lt ,Praktiniai lietuvių kalbos redagavimo kursai,"Kalbos praktikos centras ""Lingua Lituanica"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 44512000-2,54,"2013-09-16 sutartis Nr. A72-1271(3.5.35-FN4) UAB ""Senukų prekybos centras""","  3,988.62 Lt ",Įvairūs rankiniai įrankiai,"UAB ""Senukų prekybos centras"", UAB ""Lisoksa"", UAB ""Elremta"", UAB ""Meistroff"""
E. miesto departamentas,BVPŽ kodas 22315000-1,55,Neįvyko,,Skaitmeninių nuotraukų įsigijimas aplikacijų kūrimui,
Viešųjų ryšių skyrius,13 paslaugų kategorija BVPŽ kodas 79340000-9,56,"2013-05-31 PVM sąskaita-faktūra Nr. EFM0819; UAB ""Interbanga""","  9,982.50 Lt ",Reklamos paslaugos,"UAB ""Interbanga""; UAB ""Pūkas""; UAB ""Reklamos ekspertai"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45453100-8,57,"2013-08-28 sutartis Nr. A62-50(3.10.21-FN4) UAB ""Domus Lumina""","  14,500.00 Lt ",Medžiaginių žaliuzių atnaujinimo darbai,"UAB ""Domus Lumina"", UAB ""Lauresta"", UAB ""Dextera"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421100-5,58,"2013-11-26 sutartis Nr. A62-101(3.10.21-FN4) UAB ""Aluvesto""","  19,954.43 Lt ","Varstomų langų įrengimo, langų varčių ir lauko durų remonto darbai","UAB ""Aimpex"", UAB ""Aluvesto"", UAB ""Macro Investment"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45453100-8,59,"2014.01.30 - UAB ""EG Plus"" Sutartis Nr. A68-3/14(3.10.23-FN4); 2014.01.31 - UAB ""Inservis"" sutartis Nr. A62-1/14 (3.10.21-FN4)",,Atnaujinimo darbai,"UAB ""EG Plus"", UAB ""Listata"", UAB ""Inservis"", UAB ""BrikSan"", UAB ""Empa LT"", UAB ""Docilis"", UAB ""LB Baltic"", UAB ""Maxi logistics"""
Justiniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 922300000-4,60,"2013-07-10 sutartis Nr. A64-59(3.10.22-FN4) UAB ""Renginių klubas""","  4,944.06 Lt ",Pramoginės paslaugos,"UAB ""ZAP grupė"", UAB ""Renginių klubas"", UAB ""Audiokomas"""
Naujosios Vilnios seniūnija,BVPŽ kodas 15800000-6,61,2013-06-23 PVM sąskaita faktūra Nr. RAS00273 A. Rusakevičienės IĮ,  510.00 Lt ,Vaišės renginio svečiams (Paparčio žiedas),"A. Rusakevičienės IĮ, Danutės Nekraševič IĮ, L. Žukovskajos IĮ"
Naujosios Vilnios seniūnija,BVPŽ kodas 45236119-7,62,"2013-06-06 sutartis Nr. A62-16 (3.10.21-FN4) UAB ""Patikimas turtas""","  10,150.25 Lt ",Sporto ir vaikų žaidimo aikštelių įrengimo ir remonto darbai,"UAB ""Remodus"", UAB ""Rumida"", UAB ""Patikimas turtas"""
Naujosios Vilnios seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,63,"2013-05-22 sutartis Nr. A64-35 (3.10.22-FN4) B. Į. Naujosios Vilnios kultūros centras""","  2,990.00 Lt ",Paparčio žiedo šventės organizavimo paslaugos,"Kirtimų kultūros centras, Grigiškių kultūros centras, Naujosios Vilnios kultūros centras"
Turto valdymo skyrius,BVPŽ kodas 45212600-2,64,"2013-07-23 sutartis Nr. A62-30(3.10.21-EK) VšĮ ""Vizualinių komunikacijų studija""","  491,500.00 Lt ",Maitinimo paskirties pastatas prie Maironio ir Aukštaičių gatvių sankryžos,"VšĮ ""Vizualinių komunikacijų studija"""
Turto valdymo skyrius,BVPŽ kodas 45212600-2,65,"2013-07-23 sutartis Nr. A62-31(3.10.21-EK) VšĮ ""Vizualinių komunikacijų studija""","  437,050.00 Lt ",Maitinimo paskirties pastatas ant buvusio elingo viršutinės terasos T. Kosciuškos gatvėje,"VšĮ ""Vizualinių komunikacijų studija"""
Turto valdymo skyrius,BVPŽ kodas 45212600-2,66,"2013-10-24 sutartis Nr. A62-86(3.10.21-EK) VšĮ ""Vizualinių komunikacijų studija""","  345,970.00 Lt ",Maitinimo paskirties pastatas ties Maironio ir Subačiaus gatvių sankryža,"VšĮ ""Vizualinių komunikacijų studija"""
Naujosios Vilnios seniūnija,BVPŽ kodas 45236290-9,67,"2013-06-13 sutartis Nr. A62-19 (3.10.21-FN4) UAB ""Rudme""","  13,300.00 Lt ","Takų ir kitų dangų, laiptų, suoliukų, šaligatvių įrengimo ir remonto darbai","UAB ""Rudmė"", UAB ""Master beton"", UAB ""Tavo aplinkos vizija"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,68,"2013-04-30 PVM sąskaita faktūra Nr. MS-JI006602 UAB ""Mokesčių srautas""","  1,270.50 Lt ",Teisės bitės'2013,"UAB ""Mokesčių srautas"""
Kultūros skyrius,11 paslaugų kategorija BVPŽ kodas 73210000-7,69,"2013-05-08 sutartis Nr. A72-776(3.1.36-KS3), 2013-05-08 sutartis Nr. A72-775(3.1.36-KS3), 2013-10-29 sutartis Nr. A72-1599(3.1.36-KS3)","  9,460.00 Lt ","ES INTERREG IV C programos finansuojamo projekto ""Inovacijų skatinimas Europos miestuose ir regionuose"" tyrimo ekspertas","Elona Lubytė, Karolina Jakaitė, Ieva Kuizinienė; Rasius Makselis, Andrius Ciplijauskas, Saulius Jovaišas; Elona Lubytė, Karolina Jakaitė, Ieva Kuizinienė"
Kultūros skyrius,8 paslaugų kategorija BVPŽ kodas 73000000-2,70,"2013-05-08 sutartis Nr. A72-774(3.1.36-KS3), 2013-10-29 sutartis Nr. A72-1600(3.1.36-KS3)","  9,460.00 Lt ","ES INTERREG IV C programos finansuojamo projekto ""Inovacijų skatinimas Europos miestuose ir regionuose"" moderatoriaus paslaugos","Vilija Lukošiūnienė, Arūnas Bėkšta, Saulius Vadišis; Rasius Makselis, Andrius Ciplijauskas, Saulius Jovaišas"
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,71,"2013-05-29 sutartis Nr. A64-40 (3.10.22-FN4) UAB ""Vėjų fėja""","  4,950.00 Lt ","Pašilaičių bendruomenės šventė ""Pašilaičių pavasaris 2013""","VšĮ ""Herkulis"", VšĮ ""Pramogų karalystė"", UAB ""Vėjų fėja"""
Grigiškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,72,"2013-05-29 sutartis Nr. A64-39 (3.10.22-FN4) UAB ""Naujininkų ūkis""","  7,499.99 Lt ",Grigiškių seniūnijos patalpų administravimas,"UAB ""Lazdynų būstas"", UAB ""Naujamiesčio būstas"", UAB ""Naujininkų ūkis"""
Švietimo skyrius,20 paslaugų kategorija BVPŽ kodas 63710000-9,73,2013-05-24 sutartis Nr. A72-818 (3.10.22-KS) VšĮ Vilnius veža,"  10,000.00 Lt ",Taksi paslaugos,"UAB ""Standart taksi"", UAB ""Merseros taksi"", UAB ""Romerta"", VšĮ Vilnius veža"
Justiniškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,74,NEĮVYKO ,,Patalpų Rygos g. 31-1 administravimo ir priežiūros paslaugos,
Justiniškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,75,NEĮVYKO,,Patalpų Rygos g. 15 administravimo ir priežiūros paslaugos,
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45112710-5,76,"2013-07-09 sutartis Nr. A62-22(3.10.21-UK) VšĮ ""Vizualinių komunikacijų studija""","  150,000.00 Lt ","Riboženklių ""Vilnius"" ir šviesdėžių remonto darbai","VšĮ ""Vizualinių komunikacijų studija"", VšĮ ""Dizaino artelė"""
Naujininkų seniūnija,BVPŽ kodas 45233253-7,77,"2013-10-07 sutartis Nr. A62-65(3.10.21-FN4) UAB ""Traajana""","  14,092.58 Lt ","Pėsčiųjų takų, dengtų skalda ir kita kieta danga, remonto darbai","UAB ""Trajana"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Naujininkų seniūnija,BVPŽ kodas 45233200-1,78,Neįvyko,,"Asfalto/betono šaligatvių, laiptų remonto darbai",
Naujininkų seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,79,2013-09-16 sutartis Nr. A64-110(3.10.22-FN4) VšĮ Muzikos turo pramogos,"  4,995.00 Lt ",Renginių techninio aprūpinimo paslaugos (scenų ir kitų elementų įrengimas),"VšĮ ""Muzikos turo pramogos"", UAB ""Amberrent"", UAB ""Ogmios pulsas PRO"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,80,2013-05-10 PVM sąskaita faktūra Nr. ADA 4287 Administracijos darbuotojų asociacija,  300.00 Lt ,Viešieji pirkimai praktikams,Administracijos darbuotojų asociacija
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,81,2013-05-08 PVM sąskaita faktūra Nr. EKO 0427 VšĮ Ekodiena,"  2,240.00 Lt ",Statybą reguliuojančių teisės aktų pakeitimų apžvalga,VšĮ Ekodiena
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,82,Neįvyko,,Statybos teisė,
Šeškinės seniūnija,BVPŽ kodas 31523000-8,83,"2013-05-31 sutartis Nr. A68-19 (3.10.21-FN4) UAB ""Revlita""","  4,270.15 Lt ",Šviečiantys ženklai ir iškabos,"UAB ""Kreivės"", UAB ""Proliuks"", UAB ""Revlita"""
